Model,Provider,Producer,Model ID,Cost/1k Input Token,Cost/1k Output Token,Fine Tuneable?,Region
claude-instant,AWS Bedrock,Anthropic,anthropic.claude-instant-v1,$0.0016300,$0.0055100,no,US
claude,AWS Bedrock,Anthropic,anthropic.claude-v1,$0.0080000,$0.0240000,no,US
gpt-4,OpenAI,OpenAI,,$0.0300000,$0.0600000,no,US
gpt-4 turbo,OpenAI,OpenAI,,$0.0100000,$0.0300000,no,US
gpt-3.5-turbo,OpenAI,OpenAI,,$0.0010000,$0.0020000,no,US
gpt-3.5-finetuned,OpenAI,OpenAI,,$0.0030000,$0.0060000,yes,US
bison,GCP,Google,,$0.0020000,$0.0020000,no,US
bison-fine-tuned,GCP,Google,,$0.0020000,$0.0020000,yes,US
titan-lite,AWS Bedrock,Amazon,amazon.titan-text-lite-v1,$0.0003000,$0.0004000 ,no,US
titan-express,AWS Bedrock,Amazon,amazon.titan-text-express-v1,$0.0008000,$0.0016000 ,no,US
mistral-7b,Mistral,Mistral,,$0.0001500,$0.0004500,no,EU
mistral-moe,Mistral,Mistral,,$0.0006500,$0.0019400,no,EU
mistral-70b,Mistral,Mistral,,$0.0026900,$0.0080700,no,EU
juraasic-2-mid,AWS Bedrock,AI21,ai21.j2-mid-v1,$0.0125000,$0.0125000,no,US
jurassic-2-ultra,AWS Bedrock,AI21,ai21.j2-ultra-v1,$0.0188000,$0.0188000,no,US
command,AWS Bedrock,Cohere,cohere.command-text-v14,$0.0015000,$0.0020000,no,US
command-light, AWS Bedrock,Cohere,cohere.command-light-text-v14,$0.0003000,$0.0006000,no,US 
llama-2-chat-13b,AWS Bedrock,Meta,meta.llama2-13b-chat-v1,$0.0007500,$0.0010000,no,US 
llama-2-chat-70b,AWS Bedrock,Meta,meta.llama2-70b-chat-v1,$0.0019500,$0.0025600,no,US 
