,input_tokens,output_tokens,latency
0,129.0,0.25,0.6150160551071167
1,499.0,0.55,0.44241387844085694
2,871.0,0.9,0.47265775203704835
3,1245.0,0.25,0.48747005462646487
4,1628.0,0.4,0.5181185007095337
5,2005.0,0.25,0.5774587392807007
6,2401.0,0.8,0.6586244583129883
7,2784.0,0.925,0.7060705184936523
8,3160.0,0.825,0.7144412279129029
9,3556.0,0.2,1.0224815607070923
10,3946.0,0.3,1.015898013114929
11,4306.0,0.375,0.9757064342498779
12,4685.0,0.625,1.0503110408782959
13,5065.0,0.175,1.1026812076568604
