,input_tokens,output_tokens,latency
0,129.0,0.25,0.4663595676422119
1,499.0,0.125,0.47928171157836913
2,871.0,1.05,0.5346407175064087
3,1245.0,0.25,0.541497015953064
4,1628.0,0.325,0.6161030530929565
5,2005.0,0.25,0.7366873502731324
6,2401.0,0.725,0.7807558059692383
7,2784.0,0.375,0.9308346509933472
8,3160.0,0.75,0.9602245330810547
9,3556.0,0.2,1.2431066274642943
10,3946.0,0.1,1.4075965642929078
11,4306.0,0.9,1.539021611213684
12,4685.0,0.575,1.5005632162094116
13,5065.0,0.65,1.6632914304733277
